版本	改动
H	初版，保留 MakeMat / CalcMat / CalcMat2 / GeneMat 全流程，主要还是矩阵法
H2	大改 CalcMat2，加入 fg、rank，尝试改成多项式/递推求解
H3	回退 H2 的实验写法，恢复 f、q、r 这套主流程
H4	重写 MakeMat 的递推，加入 f，并修改 GeneMat 的生成方式
H5	加入 rev，把求逆逻辑独立出来，GeneMat 改为返回布尔值
H6	加入 gcd，引入 e/h 等变量，形成 gcd + rev + z/x 的完整流程
H7	主要整理输出与打点格式，算法主体基本不变
H8	去掉 CalcMat，把 gcd/rev 合并重写，整体从矩阵法进一步转向递推/多项式法
H9	补充退化情况处理，加入 k=0 时的特判
H10	加入 c，并改为通过 c 来构造 p；同时加入 y0 过渡变量
H11	加入 l0、k，重写部分递推和 x 的定位方式
H12	去掉 r，x 的求法改成直接通过 i0:=i+r0 定位
H13	加入 TimeMark，开始细分各阶段耗时，并调整 x 阶段实现
H14	去掉了 p、b、k 等变量
H15	把 l、l0、f、c 从整张矩阵改成滚动向量/缓存递推
H16	去掉了 t 的核心依赖，GeneMat 改成滚动计算
H17	去掉了整张 d，改成 d0/d1/d2 滚动变量
H18	优化计算 g/d 的过程，只计算一半
H19	重命名所有变量
H20	用 f 计算 c
H21	去除冗余变量，y0、v0、v4、t 等进一步精简
H22	修改 TimeMark，去除 TMat 和多余函数
H23	使用SOS DP优化c生成，末尾行全0优化x和z，r带宽优化x
H24	优化gcd，高位处理后只处理低位，使时间减半
H25	使用统一的ApplyPoly，优化z和d，仅扩散扫描
H26	优化g，利用ApplyPoly，使其验证更快
