| 阶段      | 当前 H22 做法               | 主要问题                          | 优化方案                              | 关键想法                                   |                                 单个 n：从 0 直接算到 n | 单步：从 n-1 到 n | 预期收益         | 优先级 |
| ------- | ----------------------- | ----------------------------- | --------------------------------- | -------------------------------------- | ----------------------------------------------: | -----------: | ------------ | --- |
| `c`     | 由 `f` 两层循环重构 `c`        | 普通版和位运算版都还是双层循环，位运算也没明显占优     | **直接利用 `c(x)=f(x+1)`**            | 不再把 `c` 当独立对象暴力重建                      |                目标从 `O(n²)` 降常数，理想可逼近 `O(n)` 级构造 |    目标 `O(n)` | 先砍掉一个平方热点    | 高   |
| `c`     | 同上                      | `c` 本身其实只是中间量                 | **彻底改主线：不用 `c`，改用 `A,p` 或 `A,B`** | `p=f+c=B(u)`，`A=f+xp`，后面 gcd 不再用 `f,c` |                                `c` 这一步可**直接消失** |          可消失 | 这一块直接不计时     | 很高  |
| `q`     | 对 `f,c` 做朴素扩展欧几里得       | 当前主热点之一，平方级                   | **先压到 `u=x²+x` 变量**               | 把 `f` 写成 `A(u)+xB(u)`，改算 `h=gcd(A,B)`  |                          仍是 `O(n²)`，但规模约减半，常数大降 |  仍近似 `O(n²)` | 约 4 倍量级常数收益  | 很高  |
| `q`     | 同上                      | 根本瓶颈还是朴素 gcd/extgcd           | **half-gcd / 分治 extgcd**          | 用快速 gcd 代替普通欧几里得                       | 从 `O(n²)` 目标降到 `O(M(n)log n)`，理想约 `O(n log² n)` |           同左 | 真正的“根本性降复杂度” | 最高  |
| `q`     | 同上                      | 已知 `g=h` 后还要求 `q`             | **先约掉 `h`，再做 coprime inverse**    | `A=hA1, B=hB1`，只对 `A1,B1` 求逆/求 Bézout  |                     若 `deg h=r`，规模变成约 `(n-r)/2` |           同左 | `g` 越大，越赚    | 高   |
| `z`     | 左右扩散版 `q(H)y`           | 仍是平方级；按你观察，已由原来基于 `k` 的乘法改成扩散 | **全 0 提前停止**                      | 某一步扩散向量若全 0，后面永远全 0                    |                                     最坏仍 `O(n²)` |  最坏仍 `O(n²)` | 平均时间明显下降，低风险 | 很高  |
| `z`     | 左右扩散                    | 现在每轮仍逐次扩散、逐次异或                | **把 `ApplyPoly(a,v)=a(H)v` 统一封装** | `z=q(H)y` 和 `d0=g(H)e0` 用同一原语          |                             复杂度本身不一定立刻降，但便于统一优化 |           同左 | 为后续快算法铺路     | 中   |
| `z`     | 左右扩散                    | 仍是线性迭代                        | **卷积 / FFT / 快速多项式乘法型 ApplyPoly** | 把“连续扩散叠加”改成快速多项式作用                     |               理论目标可到 `O(M(n))` 或 `O(n log n)` 级 |           同左 | 这是 `z` 的终极路线 | 中高  |
| `x`（奇异） | 先算 `D=g(H)` 的首行，再递推，再回代 | 当前奇异时是大热点                     | **利用 `D=g(H)` 的带宽 `r=deg g`**     | `D` 不是满矩阵，只在带状区域非零                     |                          从最坏 `O(n²)` 压到 `O(nr)` |           同左 | 若 `r` 小，收益巨大 | 很高  |
| `x`（奇异） | 反向回代整段扫                 | 很多位置其实必然为 0，仍在白扫              | **回代只扫有效区间**                      | 每行只处理 `[max(0,i-r), min(n-1,i+r)]`     |                                         `O(nr)` |           同左 | 奇异分支最值钱的一刀   | 很高  |
| `x`（奇异） | 固定区间反向迭代                | 有无意义循环                        | **缩区间 / 提前停 / 只查可能主元**            | 当前有效区外全 0 就停                           |                                       最坏不变，平均更快 |           同左 | 工程收益很实在      | 高   |
| `x`（奇异） | 依赖 `D=g(H)` + 反向叠加      | 框架本身偏重                        | **商环统一解法，整体替掉奇异分支**               | 不再显式构造 `D` 和做反向叠加                      |                            目标是统一到更快主线，复杂度取决于新实现 |           同左 | 大重构，潜力大      | 中   |
| `c+q`   | 当前先算 `c` 再 gcd          | 中间量多，重复工作                     | **主线改成 `A,p`**                    | `p=B(u)`，`A=f+xp`，`h=gcd(A,p)`         |                        `c` 消失；`q/g` 直接在 `u` 变量算 |       单步也更自然 | 整体主线更短       | 很高  |
| `q+z+x` | 各自独立优化                  | 容易局部修补                        | **先把真正热点顺序定为 `q → z → x`**        | 先打最耗时点，别浪费在常为 0 的 mark 上               |                                               — |            — | 路线更清晰        | 很高  |
